customer_id,year_of_birth,age,education,marital_status,income,num_kids,num_teens,total_kids,date_joined,days_since_joined,days_since_last_purchase,mnt_wines,mnt_fruits,mnt_meat_products,mnt_fish_products,mnt_sweet_products,mnt_gold_products,total_spent,num_deal_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,num_web_visits_month,purchase_frequency,accepted_cmp_1,accepted_cmp_2,accepted_cmp_3,accepted_cmp_4,accepted_cmp_5,accepted_cmp_6,total_accepted_cmp,complained,length,recency,frequency,monetary,l_score,r_score,f_score,m_score,lrfm_score_combined,lrfm_segment_combined
5524,1957,57,Postgraduate,Single,58138.0,0,0,0,2012-04-09,972,58,635,88,546,172,88,88,1617,3,8,10,4,7,23,0,0,0,0,0,1,1,0,972,972,23,1617,4,1,1,4,4114,At Risk Customers - Low Engagement
2174,1954,60,Postgraduate,Single,46344.0,1,1,2,2014-08-03,126,38,11,1,6,2,1,6,27,2,1,1,2,5,5,0,0,0,0,0,0,0,0,126,126,5,27,1,4,4,1,1441,New Customers - Low Engagement and Value
4141,1965,49,Postgraduate,Relationship,71613.0,0,0,0,2013-08-21,473,26,426,49,127,111,21,42,776,1,8,2,10,4,21,0,0,0,0,0,0,0,0,473,473,21,776,2,3,1,3,2313,New Customers - High Engagement and Value
6182,1984,30,Postgraduate,Relationship,26646.0,1,0,1,2014-10-02,66,26,11,4,20,10,3,5,53,2,2,0,4,6,7,0,0,0,0,0,0,0,0,66,66,7,53,1,4,4,1,1441,New Customers - Low Engagement and Value
5324,1981,33,Postgraduate,Relationship,58293.0,1,0,1,2014-01-19,322,94,173,43,118,46,27,15,422,5,5,3,6,5,15,0,0,0,0,0,0,0,0,322,322,15,422,1,4,2,3,1423,New Customers - High Engagement and Value
7446,1967,47,Postgraduate,Relationship,62513.0,0,1,1,2013-09-09,454,16,520,42,98,0,42,14,716,2,6,4,10,6,21,0,0,0,0,0,0,0,0,454,454,21,716,2,3,1,3,2313,New Customers - High Engagement and Value
965,1971,43,Postgraduate,Single,55635.0,0,1,1,2012-11-13,754,34,235,65,164,50,49,27,590,4,7,3,7,6,18,0,0,0,0,0,0,0,0,754,754,18,590,4,1,2,3,4123,At Risk Customers - Low Engagement
6177,1985,29,Postgraduate,Relationship,33454.0,1,0,1,2013-08-05,489,32,76,10,56,3,1,23,169,2,4,0,4,8,9,0,0,0,0,0,0,0,0,489,489,9,169,2,3,3,2,2332,New Customers - Low Engagement and Value
4855,1974,40,Postgraduate,Relationship,30351.0,1,0,1,2013-06-06,549,19,14,0,24,3,3,2,46,1,3,0,2,9,6,0,0,0,0,0,1,1,0,549,549,6,46,3,2,4,1,3241,At Risk Customers - Low Engagement
5899,1950,64,Postgraduate,Relationship,5648.0,1,1,2,2014-03-13,269,68,28,0,6,1,1,13,49,1,1,0,0,20,2,0,0,1,0,0,0,1,0,269,269,2,49,1,4,4,1,1441,New Customers - Low Engagement and Value
387,1976,38,Undergraduate,Relationship,7500.0,0,0,0,2012-11-13,754,59,6,16,11,11,1,16,61,1,2,0,3,8,6,0,0,0,0,0,0,0,0,754,754,6,61,4,1,4,1,4141,At Risk Customers - Low Engagement
2125,1959,55,Postgraduate,Single,63033.0,0,0,0,2013-11-15,387,82,194,61,480,225,112,30,1102,1,3,4,8,2,16,0,0,0,0,0,0,0,0,387,387,16,1102,2,3,2,4,2324,New Customers - High Engagement and Value
8180,1952,62,Postgraduate,Single,59354.0,1,1,2,2013-11-15,387,53,233,2,53,3,5,14,310,3,6,1,5,6,13,0,0,0,0,0,0,0,0,387,387,13,310,2,3,3,2,2332,New Customers - Low Engagement and Value
2569,1987,27,Postgraduate,Relationship,17323.0,0,0,0,2012-10-10,788,38,3,14,17,6,1,5,46,1,1,0,3,8,5,0,0,0,0,0,0,0,0,788,788,5,46,4,1,4,1,4141,At Risk Customers - Low Engagement
2114,1946,68,Postgraduate,Single,82800.0,0,0,0,2012-11-24,743,23,1006,22,115,59,68,45,1315,1,7,6,12,3,26,1,0,0,0,1,1,3,0,743,743,26,1315,4,1,1,4,4114,At Risk Customers - Low Engagement
9736,1980,34,Postgraduate,Relationship,41850.0,1,1,2,2012-12-24,713,51,53,5,19,2,13,4,96,3,3,0,3,8,7,0,0,0,0,0,0,0,0,713,713,7,96,4,1,4,2,4142,At Risk Customers - Low Engagement
4939,1946,68,Postgraduate,Relationship,37760.0,0,0,0,2012-08-31,828,20,84,5,38,150,12,28,317,2,4,1,6,7,12,0,0,0,0,0,0,0,0,828,828,12,317,4,1,3,2,4132,At Risk Customers - Low Engagement
6565,1949,65,Postgraduate,Relationship,76995.0,0,1,1,2013-03-28,619,91,1012,80,498,0,16,176,1782,2,11,4,9,5,25,1,0,0,0,0,0,1,0,619,619,25,1782,3,2,1,4,3214,At Risk Customers - Low Engagement
2278,1985,29,Postgraduate,Single,33812.0,1,0,1,2012-03-11,1001,86,4,17,19,30,24,39,133,2,2,1,3,6,7,0,0,0,0,0,0,0,0,1001,1001,7,133,4,1,4,2,4142,At Risk Customers - Low Engagement
